datetime,temperature,humidity,co2
2024-12-27 00:00:00.00,24.5,55.0,488.8
2024-12-27 00:01:00.00,25.4,55.5,496.0
2024-12-27 00:02:00.00,25.8,54.8,482.7
2024-12-27 00:03:00.00,26.3,53.6,475.9
2024-12-27 00:04:00.00,27.1,53.5,473.2
2024-12-27 00:05:00.00,27.1,51.5,486.7
2024-12-27 00:06:00.00,27.1,51.6,506.0
2024-12-27 00:07:00.00,27.3,50.3,497.5
2024-12-27 00:08:00.00,27.7,50.6,500.6
2024-12-27 00:09:00.00,28.0,49.1,514.1
2024-12-27 00:10:00.00,28.6,48.3,488.7
2024-12-27 00:11:00.00,28.9,48.9,488.4
2024-12-27 00:12:00.00,29.3,48.1,495.9
2024-12-27 00:13:00.00,29.2,47.6,511.4
2024-12-27 00:14:00.00,29.4,46.6,522.0
2024-12-27 00:15:00.00,30.0,45.5,499.8
2024-12-27 00:16:00.00,30.0,45.7,509.5
2024-12-27 00:17:00.00,30.3,46.2,552.9
2024-12-27 00:18:00.00,30.3,45.7,545.3
2024-12-27 00:19:00.00,30.2,44.7,542.5
2024-12-27 00:20:00.00,30.7,44.2,532.8
2024-12-27 00:21:00.00,31.0,44.3,515.4
2024-12-27 00:22:00.00,30.7,44.5,514.6
2024-12-27 00:23:00.00,30.8,45.2,490.4
2024-12-27 00:24:00.00,30.8,45.7,505.1
2024-12-27 00:25:00.00,30.9,46.0,519.3
2024-12-27 00:26:00.00,31.3,46.4,552.1
2024-12-27 00:27:00.00,31.0,45.3,570.3
2024-12-27 00:28:00.00,30.8,46.1,574.8
2024-12-27 00:29:00.00,31.0,45.5,545.4
2024-12-27 00:30:00.00,31.4,45.9,545.3
2024-12-27 00:31:00.00,31.2,46.7,531.6
2024-12-27 00:32:00.00,31.3,47.4,519.7
2024-12-27 00:33:00.00,31.4,47.4,519.8
2024-12-27 00:34:00.00,31.3,48.1,540.3
2024-12-27 00:35:00.00,31.4,47.4,520.1
2024-12-27 00:36:00.00,31.7,47.6,524.0
2024-12-27 00:37:00.00,31.5,46.8,533.5
2024-12-27 00:38:00.00,31.4,46.9,527.8
2024-12-27 00:39:00.00,31.4,47.1,542.6
2024-12-27 00:40:00.00,31.6,46.6,525.9
2024-12-27 00:41:00.00,31.9,46.8,542.6
2024-12-27 00:42:00.00,32.0,46.7,549.6
2024-12-27 00:43:00.00,31.7,45.8,551.0
2024-12-27 00:44:00.00,31.4,46.1,570.0
2024-12-27 00:45:00.00,31.6,46.1,538.3
2024-12-27 00:46:00.00,31.6,46.5,546.0
2024-12-27 00:47:00.00,31.3,47.0,545.1
2024-12-27 00:48:00.00,31.1,47.1,538.0
2024-12-27 00:49:00.00,31.5,47.1,538.9
2024-12-27 00:50:00.00,31.4,46.4,537.1
2024-12-27 00:51:00.00,31.5,46.4,510.0
2024-12-27 00:52:00.00,31.5,46.5,508.0
2024-12-27 00:53:00.00,31.9,46.3,509.4
2024-12-27 00:54:00.00,31.8,46.4,521.8
2024-12-27 00:55:00.00,32.0,46.8,527.7
2024-12-27 00:56:00.00,31.7,45.7,523.9
2024-12-27 00:57:00.00,31.5,45.8,529.9
2024-12-27 00:58:00.00,31.9,45.8,534.9
2024-12-27 00:59:00.00,31.8,44.8,517.3
2024-12-27 01:00:00.00,32.0,45.4,520.5
2024-12-27 01:01:00.00,32.0,45.8,534.6
2024-12-27 01:02:00.00,31.7,46.2,540.9
2024-12-27 01:03:00.00,31.4,45.6,536.1
2024-12-27 01:04:00.00,31.0,46.9,507.3
2024-12-27 01:05:00.00,30.9,46.0,500.6
2024-12-27 01:06:00.00,30.8,45.8,517.8
2024-12-27 01:07:00.00,30.8,45.6,535.5
2024-12-27 01:08:00.00,30.7,45.1,524.9
2024-12-27 01:09:00.00,30.5,45.5,533.5
2024-12-27 01:10:00.00,30.1,45.6,537.3
2024-12-27 01:11:00.00,30.5,46.2,519.8
2024-12-27 01:12:00.00,30.5,46.0,501.4
2024-12-27 01:13:00.00,30.5,45.4,506.5
2024-12-27 01:14:00.00,30.5,45.3,520.7
2024-12-27 01:15:00.00,30.7,45.0,520.8
2024-12-27 01:16:00.00,30.4,45.9,554.9
2024-12-27 01:17:00.00,30.5,46.0,550.4
2024-12-27 01:18:00.00,30.5,46.5,544.2
2024-12-27 01:19:00.00,30.6,46.3,528.8
2024-12-27 01:20:00.00,30.7,45.9,525.0
2024-12-27 01:21:00.00,30.5,47.2,515.2
2024-12-27 01:22:00.00,30.3,46.8,499.8
2024-12-27 01:23:00.00,30.8,47.1,522.2
2024-12-27 01:24:00.00,30.8,46.4,541.3
2024-12-27 01:25:00.00,30.9,46.2,550.8
2024-12-27 01:26:00.00,30.9,46.2,520.2
2024-12-27 01:27:00.00,31.1,46.9,485.7
2024-12-27 01:28:00.00,31.1,46.4,496.2
2024-12-27 01:29:00.00,30.9,45.7,479.6
2024-12-27 01:30:00.00,30.6,45.8,512.8
